"code","text"
"4686",""
"4688",""
"4689",""
"4690",""
"4691",""
"4694",""
"4700",MICROELECT INFO PROCESS SYS-RE
"4701",DOT 1080 75-1 CD75-34
"4710",DES AUTO FOR MICRO & NANO SYS
"4715",COMPUTER SYSTEMS ARCHITECTURE
"4717",DOT 108175-33
"4718",CWF DOT 1081 75-35
"4719",NASA 75-15C760
"4720",SIGNAL PROCESSING SYS PROGRAM
"4721",CWF 1081 75-18 DEPT INTER
"4722",C760 NASA 1081 75-37
"4725",EXPERIMENTAL SYSTEMS/CADRE
"4726","1081 75-16 MARITIME COMM"
"4727","1081 75-25 DOT"
"4728","1081 75-34 NASA"
"4730",PROTOTYPING TOOLS & METH PROGR
"4731",SYSTEMS PROTOTYPING
"4732",MICROELECT FABRICA & PACKAGING
"4733",MOSIS PROJECTS
"4736",C760 1081 75-55 NOAA
"4737","1081 75-52 NOAA C310-307"
"4738","75/41/1081"
"4739","1081 75-42 C760 NASA"
"4741","1081 75-22 C310-82 HEW"
"4742","1081 75-6 ERDA GI43089"
"4747",CWF CD 75-183 DEPT INTERI
"4748","1081 75-64 C310271 NOAA"
"4750",NOAA 1081 75-73 C310-9
"4752",CWF CD75-187 NASA C760
"4753",CWF CD75-187 NASA C760
"4755","1081 75-72 NTIS 75-12801"
"4763","1081 75-110 C310-314"
"4764","75/10/1081"
"4765",CWF 1081 75-90 C760 ERDA
"4771","1081 75-127 NEH C310-314"
"4772",CWF 1081 75-101 C760 NASA
"4773","75/11/1081"
"4775",CWF 80569 DEPT OF AGRICLT
"4778",CWF HEW 80 2879
"4779",CWF C760 NRL CD75-229
"4780",C310-271 NAVY CD75-229
"4781",CWF 1081 75-106 C760 DOT
"4800",""
"4801",""
"4802",""
"4805",""
"4806",""
"4807",""
"4808",""
"4809",""
"4810",""
"4811",""
"4812",""
"4813",""
"4814",""
"4816",""
"4819",""
"4820",""
"4821",""
"4822",""
"4823",""
"4824",""
"4825",""
"4828",""
"4829",""
"4830",""
"4831",""
"4832",""
"4833",""
"4834",""
"4836",""
"4837",""
"4838",""
"4839",""
"4840",""
"4841",""
"4842",""
"4843",""
"4844",""
"4845",""
"4846",""
"4847",""
"4848",""
"4849",""
"4850",""
"4852",""
"4853",""
"4854",""
"4855",""
"4856",""
"4857",""
"4858",""
"4860",""
"4862",""
"4864",""
"4865",""
"4867",""
"4868",""
"4869",""
"4870",""
"4872",""
"4873",""
"4874",""
"4875",""
"4876",""
"4877",""
"4878",""
"4879",""
"4880",""
"4883",""
"4884",""
"4885",""
"4886",""
"4887",""
"4888",""
"4889",""
"4890",""
"4891",""
"4892",""
"4893",""
"4894",""
"4895",""
"4896",""
"4898",""
"4899",""
"4900",""
"4901",""
"4902",""
"4907",""
"4908",""
"4909",""
"4912",""
"4913",""
"4914",""
"4915",""
"4916",""
"4917",""
"4918",""
"4919",""
"4920",""
"4922",""
"4923",""
"4925",""
"4927",""
"4929",""
"4930",""
"4931",""
"4932",""
"4933",""
"4934",""
"4935",""
"4936",""
"4937",""
"4938",""
"4939",""
"4940",""
"4942",""
"4943",""
"4944",""
"4945",""
"4948",""
"4949",""
"4950",""
"4951",""
"4952",""
"4953",""
"4954",""
"4956",""
"4957",""
"4958",""
"4959",""
"4960",""
"4961",""
"4962",""
"4963",""
"4964",""
"4965",""
"4970",""
"4971",""
"4972",""
"4973",""
"4974",""
"4975",""
"4976",""
"4978",""
"4979",""
"4982",""
"4985",""
"4986",""
"4987",""
"4988",""
"4990",""
"4991",""
"4992",""
"4993",""
"4994",""
"4995",""
"4997",""
"4998",""
"5000",""
"500P",Women in Science
"5010",GEO - SPECIAL PROJECTS
"5015",GENERAL SUPPORT OF OCEAN SCIEN
"5023",""
"5024",""
"5025",""
"5026",""
"5027",""
"5028",""
"5029",""
"5031",""
"5033",""
"5034",""
"5035",""
"5037",""
"5038",""
"5040",""
"5042",""
"5043",""
"5044",""
"5045",""
"5046",""
"5047",""
"5048",""
"5049",""
"5051",""
"5057",""
"5058",""
"5059",""
"5060",""
"5061",""
"5062",""
"5063",""
"5066",""
"5068",""
"5069",""
"5071",""
"5073",""
"5075",""
"5076",""
"5077",""
"5080",""
"5083",""
"5085",""
"5086",""
"5088",""
"5090",""
"5091",""
"5092",""
"5093",""
"5094",""
"5095",""
"5096",""
"5097",""
"5098",""
"5099",""
"5101",OUTREACH AND EDUCATION
"5106",ENVIRONMENTAL RESEARCH
"5110",ENVIRONMENTAL RES(US ANTARC)
"5111",ANTARCTIC ORGANISMS & ECOSYST
"5112",ANTARCTIC EARTH SCIENCES
"5113",ANTARCTIC OCEAN & ATMOSPH SCI
"5114",METEOROLOGY (US ANTARCTIC RES)
"5115",Antarctic Astrophys&Geosp Sci
"5116",ANTARCTIC GLACIOLOGY
"5117",GEODESY & CARTOGRAPHY(US ANTAR
"5118",ADVANCED SYS APPLIC(US ANTARC)
"5121",BIOLOGY (RESOURCES)
"5122",EARTH SCIENCES (RESOURCES)
"5130",ANTARCTIC COORDINATION & INFOR
"5131",INFORMATION SVCS(US ANTARC RES
"5132",ADVISORY SVCS (U.S.ANTARCTIC)
"5133",CURATORIAL SERVICES(US ANTARC)
"5135",ANTARCTIC JOURNAL OF THE U.S.
"5136",SCIENCE SUPPORT
"5137",OPP FRONT OFFICE
"5140",OPERATIONS SUPPORT PROGRAM
"5141",RESEARCH SHIP SUPPORT
"5142",CONTRACT SUPPORT
"5143",SUBSISTENCE
"5146",ANTARCTIC LOGISTICS SUPPORT
"5149",SAFETY & HEALTH COORDIN SERVIC
"5150",ANTARCTIC LOGISTIC SUPPORT-DOD
"5152",ENVIRONMENTAL COORDINATION ACT
"5160",ANTARCTIC LOGISTIC SUPPORT-DOT
"5170",ANTARCT LOG SUP-OTHER FED AGEN
"5180",ANTARCTIC LOGISTIC SUP-OTH NAT
"5182","""SAFETY"
"5185",US ANTARCTIC OFF REPR EXP
"5186","""ESHM - Environment"
"5187",ENVIRONMENT
"5188",SAFETY
"5189",HEALTH
"5190",MAJOR CONSTRUCTION & PROCUREMN
"5200",ARCTIC RESEARCH PROGRAM
"5201",ARCTIC RESEARCH PROJECTS
"5202",ARCTIC RES & POLICY SUPPORT PR
"5203",EARTH SCIENCES-TOT(ARCTIC RES)
"5204",GENERAL ARCTIC RESEARCH SUPPRT
"5205",ARCTIC RESRCH SUPPRT & LOGISTI
"5207",DDOP:SEED FUNDS
"5208",ARCTIC RESEARCH AND EDUCATION
"5209",ENVIR SOCIAL & BEHAVIOR SCIENC
"5210",ENVIRONMENTAL RES (ARCTIC RES)
"5213",POLAR OCEAN SCI (ARCTIC RES)
"5214",METEOROLOGY (ARCTIC RESEARCH)
"5216",POLAR GLACIOLOGY (ARCTIC RSCH)
"5218",ADVANCED SYS APPLI(ARCTIC RES)
"5219",ARCTIC SYSTEM SCIENCE PROGRAM
"5220",GEODESY & CARTOGRAPHY RESOURCE
"5221",ARCTIC SOCIAL SCIENCES
"5222",MARINE ECOSYSTEMS STUDIES
"5224",U.S. CIVILIAN RES & DEVEL FDN
"5225",CYBERINFRASTRUCTURE & SENSORS
"5230",SOCIOECONOMIC RESEARCH
"5240",INFORMAT & ADVIS SVC(ARCTIC RE
"5241",INFORMATION SVCS (ARCTIC RES)
"5242",ADVISORY SVCS (ARCTIC RESEARC)
"5243",CURATORIAL SERVICES(ARCTIC RES
"5247",POST DOC/TRAVEL
"5260",ARCTIC RESEARCH COMMISSION
"5271",ARCTIC OFFSHORE RES PROG
"5280",ARCTIC NATURAL SCIENCES
"5281",INNOV THRU INSTITUTNL INTEGRTN
"5282",HUMAN ORIG: MOVING IN NEW DIR
"5283",POLAR POST DOC
"5284",GK-12
"5285",FUNDS REPROGRAM TO COAST GUARD
"5287",USCG - Antarctic
"5288",USCG - ARCTIC
"5292",ANTARCTIC INTEGRATED SYS SCI
"5293",AON IMPLEMENTATION
"5294",Antarctic Education
"5300",BIOLOGICAL BASIS OF BEHAVIOR
"5302","""PHY"
"5303","""PHY"
"5304","""PHY"
"5305",BIOLOG & ECOLOG APPL (BS&R)
"5306",MINERAL PROCESSES
"5307",RENEWABLE MATERIALS-ENGINEERNG
"5309","""ELEC"
"5310",CHEM & PROCESS ENG-APP RE
"5311",PUBLIC POLICY & REGULATION
"5312",POLICY ANALYSIS
"5313",PUBLIC SERVICE
"5314",APPLIED PYSCHOLOGY
"5315","""APPL RES-PHY"
"5316",BIOLOGICAL & ECOLOG APPL (PCM)
"5317",GEOPHYSICAL & ENVIRONMENTAL AP
"5318",CIVIL & ENVIRON ENGIN APPL-RES
"5320",REGULATION & POLICY ANALYSIS
"5321",OTHER PUBLIC POLICY & REGULAT
"5322",PUBLIC SERVICE DELIV -OTH
"5323",INDST ORGN & MARKTS-OTHER
"5326",BIOL & ECOLOGICAL APPLS-OTHER
"5330",PUBLIC POLICY AND SERVICE
"5337",ALTERNATIVE FOOD SYSTEMS
"5338",RESOURCE SYSTEMS-NON-FOOD
"5341",ALTERNATIVE BIOLOGICAL RESOURC
"5342",Disability & Rehab Engineering
"5343",HUMAN NUTRITION
"5345",Engineering of Biomed Systems
"5350",EXPER PROGRAM TO STIM COMP RES
"5351",APPROPRIATE TECHNOLOGY
"5360",INTEGRATED BASIC RESEARCH
"5361",ADVANCED MEASUREMENT INVESTIGS
"5362",DEEP MINERAL RESOURCES
"5363",ENVIRONMENTAL CYCLES OF ELEMEN
"5364",POPULATION REDISTRIBUTION
"5365",MINERAL RESOURCES
"5366",PEST CONTROL
"5367",PLANT PRODUCTIVITY
"5368",SUBSTITUTE MATERIALS
"5369",TELECOMMUNICATIONS RESEARCH
"5370",SMALL BUSINESS INNOVATION PROG
"5371",SMALL BUSINESS PHASE I
"5372",SMALL BUSINESS S&T TO AID HAND
"5373",SMALL BUSINESS PHASE II
"5374",MANAGEMENT OF TECHNOLOGY PRGM
"5376",INNOVATION & ORG SCIENCES(IOS)
"5380",INT INDUS/UNIV/GOV COOP RESRCH
"5407",POLAR CYBERINFRASTRUCTURE
"5408",""
"5410",INTEGRATIVE SECTION RESERVE
"5411",SHIP OPERATIONS
"5412",SUBMERSIBLE SUPPORT
"5413",OCEANOGRAPHIC INSTRUMENTATION
"5414",INSTRUMENTATION DEVELOPMENT
"5415",OCEANOGRAPHIC TECHNICAL SERVCE
"5416",SHIPBOARD SCIENTIFIC SUPP EQUI
"5417",SHIP ACQUISITION AND UPGRADE
"5418",OCE SPECIAL PROGRAMS
"5419",INTERNATIONAL SUPPORT
"5420",OCEANOGRAPHIC TECHNOLOGY PROGM
"5421","""REGIO INST-GLOBAL CHANGE"
"5430",SHIPBOARD SUPP EQUIPMENT & INS
"5440",OTHER FACILITIES & SUPPORT OPS
"5500",NEURAL SYSTEMS CLUSTER
"5501",RESOURCES
"5502",RENEWABLE RESOURCES
"5503",NON-RENEWABLE RESOURCES
"5504",RESOURCE SYSTEMS
"5505",EXCAVATION TECHNOLOGY
"5507",PUBLIC POLICY
"5509",SOCIETAL RESPONSE TO NAT HAZDS
"5510",ADVANCED TECH. APPLICAT.
"5511",ENERGY RESEARCH & TECH
"5512",ENERGY CONVERSION
"5513",INSTRUMENTATION TECHNOLOGY
"5514",OPERATIONS RESEARCH
"5515",INDUSTRIAL PROCESSING
"5516",EXCAVATION TECHNOLOGY
"5518",EARTHQUAKE ENGINEERING
"5519",FIRE RESEARCH
"5521",WEATHER MODIFICATION
"5522",POLLUTANT ANALYSIS
"5523",COMMUNITY WATER MANAGEMENT
"5524",COASTAL ZONE MANAGEMENT
"5525",LAND USE POLICY
"5526",MGT OF RURAL URBAN ENVIR
"5527",CHEMICAL THREATS TO MAN & ENVI
"5528",ENVIRON EFFECTS OF ENERGY
"5532",MUNICIPAL SYSTEMS &SERVIC
"5534",HUMAN RESOURCES AND SER.
"5536",REGULATION
"5541",EVAL APPLICAT NEW TECHNOL
"5544",TECHNOLOGICAL ASSESSMENT
"5545",HUMAN SERVICES & THE LAW
"5546",PROB ASSESS. & EXPLOR.
"5548",PRIVATE SECTOR TECHNOLOGY
"5550",ENERGY RES.&TECHNOLOGY 1
"5551",SOLAR ENERGY
"5552",HEATING&COOLING BUILDIN1S
"5553",THERMAL CONVERSION 1
"5554",PHOTOVOLTAIC CONVERSION
"5555",SOLAR CONVERSION       1
"5556",WIND ENERGY CONVERSION
"5557",OCEAN THERMAL 1
"5558",GEOTHERMAL ENERGY
"5559",ENERGY SYSTEMS
"5560",ENERGY CONVERSION
"5561",ENERGY RESOURCES
"5562",ENERGY FUEL & TRANSPORTA.
"5563",AUTO PROPULSION RESEARCH
"5564",ENERGY STORAGE
"5565",RESOURCE EXPLOR & ASSESS
"5566","""ENVIRON"
"5568",ADVANCED RESEARCH & TECH
"5570",FOSSIL ENERGY
"5571",PUBLIC SECTOR TECHNOLOGY
"5572",SERVICE DELIVERY TECH & SYSTMS
"5573",TELECOMMUNICATIONS
"5575",PRODUCTIVITY MEASUREMENT
"5576",SERVICE PRD & INTERGV REL
"5578",PUBLIC POLICY & HUMAN RES
"5580",CONSUMER POLICY
"5581",STPI
"5583",PUBLIC POLICY
"5584",DISTRIBUTION AND EQUITY
"5585",REGIONAL PRODUCT RESEARCH
"5586",SYSTEMS ANALYSIS
"5589","""RENEWBLE RES"
"5590",INNOVATIVE BIOSYNTHESIS
"5591",NONCONVENTIONAL FOODS
"5592",BIOMASS UTILIZATION
"5593",MINERAL MARKET BEHAVIOR
"5594",RESOURCE DEVELOP & CONSER
"5595",MINERAL PROCESSING TECHNOLOGY
"5596",EARTHQUAKE HAZDS MITIGAT-SITIN
"5597",EARTHQUAKE HAZARDS MITIGAT DES
"5598",SOCIETAL RESPONSE RESEARCH
"5600",INTER DECADE OF OCEAN EXPLORAT
"5601",""
"5602",""
"5603",""
"5605",""
"5606",""
"5607",""
"5608",""
"5609",""
"5610",ENVIRONMENTAL QUALITY
"5611",""
"5612",""
"5620",ENVIRONMENTAL FORECASTING
"5622",""
"5623",""
"5624",""
"5625",""
"5626",""
"5627",""
"5628",""
"5629",""
"5630",SEABED ASSESMENT
"5631",""
"5632",""
"5633",""
"5634",""
"5638",""
"5639",""
"5640",LIVING RESOURCES
"5641",""
"5642",""
"5650",GENERAL SUPPORT
"5651",""
"5652",""
"5653",""
"5654",""
"5656",""
"5657",""
"5658",""
"5660",""
"5661",""
"5663",""
"5664",""
"5665",""
"5666",""
"5667",""
"5668",""
"5669",""
"5670",""
"5671",""
"5672",""
"5676",""
"5677",""
"5678",""
"5679",""
"5681",""
"5683",""
"5685",""
"5686",NASA-HFSP
"5687",ENERGY-HUMAN FRONTIER SCI PROG
"5688",""
"5689",""
"5690",""
"5691",""
"5692",""
"5694",""
"5695",""
"5697",""
"5698",""
"5699",""
"5700",""
"5702",""
"5703",""
"5704",""
"5705",""
"5706",""
"5707",""
"5708",""
"5709",""
"5710",DEEP SEA DRILLING ACTIVITY
"5711",""
"5712",""
"5713",""
"5714",""
"5715",""
"5718",NIH-HUM FRONTIER SCI PROG
"5720",OCEAN DRILLING PROGRAM
"5721",""
"5722",""
"5723",""
"5724",""
"5725",""
"5726",""
"5728",""
"5730",GLOBAL ATMOSPHERIC RESEARCH
"5733",POLICY RESEARCH AND ANALYSIS
"5740",CLIMATE & LARGE-SCALE DYNAMICS
"5741",""
"5742",""
"5743",""
"5744",""
"5746",""
"5747",""
"5748",""
"5749",""
"5750",MAGNETOSPHERIC PHYSICS
"5754",SCIENCE & INNOVATION POLICY
"5756",PRODUCTIVITY IMPROVEMENT RESEA
"5757",TECHNOLOGY & RESOURCE POLICY
"5758",SPECIAL REPORTS & PROJECT
"5759",POLICY SCIENCES
"5760",EXPER R&D INCENTIVES PRGM
"5761",INDUSTRY/UNIV COOP RES CENTERS
"5762",PUBLIC SECTOR UTILIZATION
"5770",NATL R&D ASSESSMENT PROG
"5771",""
"5772",""
"5773",""
"5774",""
"5775",""
"5776",""
"5780",R&D ENERGY POLICY PROGRAM
"5788",""
"5789",""
"5790",NATL SCIEN & TECH RESEAR
"5791",""
"5792",""
"5793",""
"5796",""
"5797",""
"5798",""
"5801",""
"5803",""
"5806",""
"5808",""
"5809",""
"5811",""
"5814",""
"5815",""
"5816",""
"5817",""
"5818",""
"5819",""
"5820",EARTH SCIENCES
"5821",""
"5824",""
"5826",""
"5827",""
"5828",""
"5829",""
"5831",""
"5834",""
"5835",""
"5836",""
"5837",""
"5838",""
"5840",""
"5841",""
"5842",""
"5843",""
"5844",""
"5845",""
"5846",""
"5848",""
"5849",""
"5860",""
"5861",""
"5862",""
"5863",""
"5864",""
"5865",""
"5866",""
"5867",""
"5868",""
"5869",""
"5870",""
"5871",""
"5872",""
"5873",""
"5874",""
"5875",""
"5876",""
"5877",""
"5879",""
"5884",""
"5886",""
"5887",""
"5888",""
"5889",""
"5890",""
"5891",""
"5892",""
"5895",""
"5898",""
"5899",""
"5910",COOPERATIVE SCIENCE PROGRAM
"5911",ARGENTINA
"5912",AUSTRALIA
"5913",BRAZIL
"5914","""WESTERN EUROPE"
"5915","""EASTERN EUROPE"
"5916",HUNGARY
"5917",ROMANIA
"5918",FRANCE
"5919",INDIA (COOPERATIVE SCIENCE)
"5920",ITALY
"5921",JAPAN
"5922",MEXICO
"5923",PEOPLES REPUBLIC OF CHINA
"5924",TAIWAN
"5925",USSR
"5926","""LATIN AMERICA"
"5927","""EAST ASIA"
"5928","""AFRICA AND ASIA"
"5929",SCIENCE IN DEVELOPING COUNTRIE
"5930",U.S.-CZECHOSLOVAKIA PROGRAM
"5931",INTERNATIONAL INFO & ANALYSIS
"5932",NATO INSTITUTE TRAVEL
"5935",FINLAND
"5936",GERMANY (F.R.G.)
"5937",SWEDEN
"5939",US/USSR ACTIVITIES
"5940",TURKEY
"5941",NEW ZEALAND
"5942",KOREA
"5943",PAKISTAN (COOPERATIVE SCIENCE)
"5944",EGYPT (COOP SCIENCE)
"5945",VENEZUELA
"5946",UNITED KINGDOM
"5947",BELGIUM
"5950",SWITZERLAND
"5951","""COOPERATIVE SCIENCE"
"5952",SPAIN
"5953",POLAND
"5954",YUGOSLAVIA
"5955",AUSTRIA
"5956",IRFP
"5958",BULGARIA
"5959",JAPAN INITIATIVE PROGRAM
"5960",INTL COOP ENERGY PROGRAMS
"5966",U.S. MEXICO FOUNDATION
"5969",SUPPORT OF INTN'L ORGANIZATINS
"5970",SCIENTIFIC ORGS & RESOURCES PR
"5971",SCIENTIFIC ORGANIZATIONS
"5972",RSRCS STUDIES & ASSESSMNT
"5973",FSU SUPPLEMENTS
"5974",CHILE
"5976","""AFRICA"
"5977",AMERICAS PROGRAM
"5978",EAST ASIA AND PACIFIC PROGRAM
"5979",CENTRAL & EASTERN EUROPE PROGR
"5980",WESTERN EUROPE PROGRAM
"5981",GROUP
"5983",JAPAN AND KOREA PROGRAM
"5984",TRANS-REGIONAL AFFAIRS (TRA)
"5985",INTER INST FOR APP SYS & ANALY
"5986",HUMAN FRONTIER SCIENCE PROGRAM
"6000",""
"6001",""
"6003",""
"6005",""
"6006",""
"6007",""
"601",""
"6011",""
"6012",""
"6013",""
"6014",""
"6016",""
"6017",""
"6019",""
"6021",""
"6023",""
"6024",""
"6025",""
"6028",""
"6029",""
"6030",""
"6033",""
"6034",""
"6035",""
"6040",""
"6041",""
"6042",""
"6043",""
"6045",""
"6046",""
"6047",""
"6048",""
"605",""
"6052",""
"6053",""
"6054",""
"6055",""
"6056",""
"6057",""
"6058",""
"6059",""
"6060",""
"6063",""
"6064",""
"6065",""
"6070",""
"6071",""
"6072",""
"6073",""
"6074",""
"6075",""
"6077",""
"6078",""
"608",""
"6080",""
"6081",""
"6082",""
"6084",""
"6085",""
"6086",""
"6087",""
"6088",""
"6089",""
"609",""
"6090",""
"6092",""
"6093",""
"6094",""
"6095",""
"6096",""
"6098",""
"6099",""
"6102",ARAB REPUBLIC OF EGYPT(S&T INF
"6104",INDIA (SCIENTIF & TECH INFORM)
"6105",PAKISTAN (SCIENTIF & TECH INFO
"6109",""
"6120",SCIENTIFIC RESEARCH
"6122",ARAB REPUBLIC OF EGYPT(SCI RES
"6124",INDIA (SCIENTIFIC RESEARCH)
"6125",PAKISTAN (SCIENTIFIC RESEARCH)
"6126",POLAND
"6127",TUNISIA
"6133",GoLife
"614",""
"6164",INDIA - INDIVIDUAL TRAVEL
"6165",PAKISTAN (INTERNATIONAL TRAVEL
"6166",INTERNATIONAL PROGRAMS
"6184",INDIA-GROUP TRAVEL
"6185",PAKISTAN - GROUP TRAVEL
"619",""
"6194",INDIA
"6200",""
"6203",""
"6204",""
"6205",""
"6206",""
"6207",""
"6208",""
"6210",""
"6211",""
"6214",""
"6215",""
"6217",""
"6218",""
"6219",""
"6220",""
"6221",""
"6222",""
"6223",""
"6224",""
"6225",""
"6226",""
"6229",""
"6230",""
"6231",""
"6232",""
"6234",""
"6236",""
"6237",""
"6239",""
"6240",""
"6241",""
"6242",""
"6243",""
"6244",""
"6245",""
"6246",""
"6247",""
"6248",""
"6249",""
"6250",""
"6251",""
"6252",""
"6254",""
"6255",""
"6256",""
"6258",""
"6259",""
"626",""
"6261",""
"6263",""
"6265",""
"6266",""
"6267",""
"6268",""
"6269",""
"627",""
"6270",""
"6271",""
"6273",""
"6274",""
"6275",""
"6276",""
"6277",""
"6279",""
"6280",""
"6281",""
"6282",""
"6283",""
"6285",""
"6286",""
"6287",""
"6290",""
"6291",""
"6292",""
"6293",""
"6294",""
"6295",""
"6296",""
"6297",""
"6298",""
"6299",""
"6300",ENGY RELATED RESRCH INFOR
"6301",""
"6302",""
"6303",""
"6304",""
"6305",""
"6306",""
"6307",""
"6308",""
"6310",""
"6311",""
"6313",""
"6315",""
"6316",""
"6317",""
"6319",""
"632",""
"6320",""
"6321",""
"6322",""
"6323",""
"6324",""
"6325",""
"6326",""
"6327",""
"6329",""
"6330",""
"6331",""
"6333",""
"6334",""
"6335",""
"6336",""
"6338",""
"6339",""
"634",""
"6340",""
"6341",""
"6343",""
"6344",""
"6345",""
"6346",""
"6347",""
"6348",""
"6350",""
"6352",""
"6355",""
"6356",""
"6357",""
"6358",""
"6359",""
"636",""
"6362",""
"6365",""
"6369",""
"6370",""
"6371",""
"6372",""
"6373",""
"6374",""
"6375",""
"6377",""
"6378",""
"6379",""
"6380",""
"6382",""
"6383",""
"6384",""
"6385",""
"6386",""
"6387",""
"6389",""
"6392",""
"6393",""
"6397",""
"6398",""
"640",""
"6401",""
"6402",""
"6403",""
"6404",""
"6409",""
"6410",""
"6412",""
"6413",""
"6415",""
"6416",""
"6417",""
"6418",""
"6419",""
"6420",""
"6421",""
"6422",""
"6423",""
"6424",""
"6425",""
"6426",""
"6427",""
"6428",""
"6431",""
"6432",""
"6433",""
"6434",""
"6435",""
"6436",""
"6437",""
"6438",""
"6439",""
"6440",""
"6441",""
"6442",""
"6443",""
"6446",""
"6447",""
"6448",""
"6449",""
"6451",""
"6452",""
"6453",""
"6454",""
"6455",""
"6458",""
"6459",""
"6460",""
"6465",""
"6466",""
"6467",""
"6468",""
"6470",""
"6471",""
"6472",""
"6473",""
"6474",""
"6475",""
"6476",""
"6477",""
"6478",""
"648",""
"6480",""
"6482",""
"6483",""
"6484",""
"6485",""
"6486",""
"6487",""
"6488",""
"6489",""
"6491",""
"6492",""
"6493",DHHS/NIH-HUMAN FRONTIER SCI PR
"6494",""
"6495",""
"6496",""
"6497",""
"6500",STRUCTURE OF INFORMATION
"6501",""
"6502",""
"6503",""
"6504",""
"6505",""
"6506",""
"6509",""
"6510",ECONOMICS OF INFORMATION
"6511",""
"6512",""
"6513",""
"6514",""
"6515",""
"6516",""
"6517",""
"6518",""
"6519",""
"6523",""
"6526",""
"6528",""
"6529",""
"653",""
"6530",""
"6531",""
"6532",""
"6533",""
"6536",""
"6538",""
"6539",""
"6540",""
"6541",""
"6542",""
"6543",""
"6545",""
"655",""
"6550",""
"6551",""
"6552",""
"6553",""
"6554",""
"6556",""
"6558",""
"6559",""
"6561",""
"6562",""
"6565",""
"6566",""
"6569",""
"6570",""
"6571",""
"6572",""
"6573",""
"6574",""
"6575",""
"6576",""
"6577",""
"6579",""
"658",""
"6580",""
"6582",""
"6583",""
"6584",""
"6585",""
"6586",""
"6587",""
"6588",""
"6589",""
"6590",""
"6591",""
"6592",""
"6593",""
"6594",""
"6595",""
"6596",""
"6597",""
"6599",""
"6600",BEHAVIORAL ASPECTS OF INFO TRA
"6601",""
"6602",""
"6603",""
"6604",""
"6605",""
"6606",""
"6607",""
"6608",""
"6612",""
"6613",""
"6617",""
"6618",""
"6619",""
"6620",DATA SYSTEMS
"6621",""
"6622",""
"6623",""
"6624",""
"6626",""
"6627",""
"6628",""
"6629",""
"6630",""
"6631",""
"6632",""
"6633",""
"6634",""
"6635",""
"6636",""
"6637",""
"6639",""
"6640",""
"6641",""
"6642",""
"6643",""
"6644",""
"6645",""
"6646",""
"6647",""
"6650",INFORMATION SCIENCE
"6651",""
"6654",""
"6655",""
"6656",""
"6657",""
"6658",""
"6660",""
"6661",""
"6662",""
"6663",""
"6664",""
"6665",""
"6666",""
"6668",""
"6669",""
"6670",""
"6672",""
"6673",""
"6674",""
"6677",""
"6678",""
"6679",""
"6680",""
"6681",""
"6682",""
"6683",""
"6684",""
"6686",""
"6688",""
"6690",""
"6691",""
"6692",""
"6693",""
"6694",""
"6696",""
"6697",""
"6698",""
"6699",""
"670",""
"6700",INFORMATION TECHNOLOGY
"6701",""
"6702",""
"6703",""
"6704",""
"6707",""
"6708",""
"6709",""
"6711",""
"6713",""
"6714",""
"6716",""
"6717",""
"6718",""
"6720",""
"6722",""
"6723",""
"6724",""
"6727",""
"6729",""
"6730",""
"6732",""
"6733",""
"6735",""
"6737",""
"6739",""
"6740",""
"6744",""
"6747",NASA-HUMAN FRONTIER SCI PROGRA
"6748",""
"6749",""
"675",""
"6750",""
"6752",""
"6754",""
"6755",""
"6756",""
"6757",""
"6758",""
"6759",""
"6760",""
"6761",""
"6762",""
"6763",""
"6764",""
"6765",""
"6766",""
"6767",""
"6768",""
"6769",""
"6770",""
"6771",""
"6774",""
"6775",""
"6776",""
"6777",""
"6778",""
"6779",""
"6780",""
"6783",""
"6784",""
"6785",""
"6786",""
"6787",""
"6788",""
"6789",""
"6790",""
"6791",""
"6793",""
"6794",""
"6795",""
"6796",""
"6797",""
"6798",""
"6799",""
"6800",STANDARDS AND MEASURES
"6801",""
"6802",""
"6803",""
"6804",""
"6806",""
"6807",""
"6808",""
"6809",""
"6810",ECONOMICS OF INFORMATION
"6811",""
"6812",""
"6813",""
"6815",""
"6816",""
"6817",""
"6818",""
"6819",""
"6821",""
"6822",""
"6823",""
"6824",""
"6835",KNOWLEDGE & DATABASE SYSTEMS
"6840",ROBOTICS
"6845",HUMAN COMPUTER INTER PROGRAM
"6846",UNIVERSAL ACCESS
"6850",DIGITAL SOCIETY&TECHNOLOGIES
"6855",INFORMATION & KNOWLEDGE MANAGE
"6856",ARTIFICIAL INTELL & COGNIT SCI
"6857",DIGITAL LIBRARIES AND ARCHIVES
"6878",Chemical Synthesis
"6879","""Structure"
"6880",Chemical Measurement & Imaging
"6881","""Theory"
"6882",Environmental Chemical Science
"6883",Chemistry of Life Processes
"6884",Chemical Catalysis
"6885",Macromolec/Supramolec/Nano
"6886",MULTI-SCALE MODELING
"6891",CLIMATE CHANGE EDUCATION
"6892",CI REUSE
"6894",ITR EXPEDITIONS
"6895",Digitization
"6896",ITR COMPUT RESRCH INFRASTRUCT
"6897",AGS
"6898",EAR
"6899",OCE
"6900",ECONOMICS OF INFORMATION
"6901",""
"6902",""
"6905",""
"6907",""
"6908",""
"6909",""
"6912",""
"6913",""
"6916",""
"6918",""
"6919",""
"6920",""
"6921",""
"6922",""
"6925",""
"6926",""
"6927",""
"6928",""
"6929",""
"6930",""
"6932",""
