"code","text"
"1619",Bacterial Artificial Chromosomes
"161E",Hydrocarb from Biomass (HyBi)
"1620",MARINE GEOLOGY AND GEOPHYSICS
"1623",EXPLORATORY RESRCH IN MODEL-BASED SIMULA
"1624",RESRCH ON ADVANCED TECHNOLOGIES FOR HOUS
"1626",EXPL RES REL TO 99 ERTHQUKE IN TUR & TAI
"1627",EXPLOR RESRCH ON ENG THE TRANSPORT INDUS
"1629",BE: Non-Announcement Research
"1630",MECHANICS OF MATERIALS
"1631",CIVIL INFRASTRUCTURE SYSTEMS
"1632",CONTROL SYSTEMS
"1633",MATERIALS AND SURFACE ENG
"1634",GEOMECHANICS & GEOMATERIALS
"1635",STRUCTURAL MATERIALS AND MECH
"1636",GEOTECHNICAL ENGINEERING
"1637",HAZARD MIT & STRUCTURAL ENG
"1638",INFRAST MGMT & EXTREME EVENTS
"1639",SENSORS AND SENSING SYSTEMS
"163E",SBIR Phase IB
"1640",INFORMATION TECHNOLOGY RESEARC
"1641",TERASCALE COMPUTING SYSTEMS
"1643",PARTICLE ASTROPHYSICS
"1644",NETWK FOR ERTHQUKE ENG SIMULAT
"1646",PHYSICS FRONTIER CENTER
"1647",ANTARCTIC INSTRUM & SUPPORT
"1648",INITIATIVE ON SENSING AND IMAGING TECHNO
"1649",QUANTITATIVE ENVIRNMNTAL & INTEGRAT BIOL
"164E",SBIR Phase IIA
"1650",BIOLOGICAL OCEANOGRAPHY
"1652",HIGH END COMPUTATION AND INFRASTRUCTURE
"1653",Adaptive & intelligent systems
"1654",HUMAN COMPUTER INTERFACE
"1655",INFORMATION MANAGEMENT
"1656",LARGE SCALE NETWORKING
"1657",SOCIAL AND ECONOMIC IMPLICATIONS OF IT
"1658",SOFTWARE
"1659",HIGH END COMPUTING
"165E",SBIR Phase IIB
"1660",ITR COMPETITION FOR UNDER $500K
"1661",ITR COMPETITION FOR OVER $500K
"1662",PARTNRSHIPS FOR INNOVATION-PFI
"1663",NEARBY STARS (NSTARS)
"1664",RESEARCH COORD NETWK IN BIO SC
"1665",RESEARCH ON LEARNING & EDUCATI
"1666",RESEARCH ON LEARNING & EDUCATI
"1667",HIGH CONFIDENCE SYSTEMS
"1668",CYBERCORPS: SCHLAR FOR SER
"1669",SMALL GRANTS FOR PRELIMINARY RESEARCH
"166E",SBIR Phase IICC
"1670",CHEMICAL OCEANOGRAPHY
"1671",OCEANIC CHEMISTRY
"1673",EL NINO SOUTHERN OSCILLATION
"1674",NANOSCALE: INTRDISCPL RESRCH T
"1675",NANOSCALE: SCIENCE & ENGIN CTR
"1676",NANOSCALE: EXPLORATORY RSRCH
"1678",ASTRNMY & ASTRPHYS RES GRANTS
"1679",INTERNATIONAL COORDINATION ACT
"167E",SBIR I/UCRC Membership
"1680",OCEAN TECH & INTERDISC COORDIN
"1681",ADVANCE - FELLOWS
"1682",NANO SCI AND ENG - MPS CORE AW
"1683",POSTDOCTORAL STARTER GRANTS
"1684",THE 2010 PROJECT
"1685",NNCO ACTIVITIES
"1686",ITR SMALL GRANTS
"1687",ITR MEDIUM (GROUP) GRANTS
"1688",ITR LARGE GRANTS
"1689",BIOCOMPLEXITY IN THE ENVIRONMENT
"168E",SBIR/STTR/ERC Collab (SECO)
"1690","""EDUCATION/HUMAN RESOURCES"
"1691",BE: DYN COUPLED NATURAL-HUMAN
"1692",BE: COUPLED BIOGEOCHEMICAL CYC
"1693",ENVIRONMENTAL GENOMICS
"1694",BE: INSTRUM DEVELOP FOR ENV AC
"1695",MPS Dist Inter PostDoc Fellow Pro
"1696",MPS INTERNSHIPS IN PUBLIC SCIENCE EDUCAT
"1697",OPPORT FOR ENHANCING DIVERSITY
"1698",DEVELOP& LEARNING SCIENCES/CRI
"1699",COGNEURO
"169E",SBIR Tech Enhan Partner (TECP)
"1700","""MATERIALS"
"1701",MATERIALS RESEARCH-IUC
"1702",NSFENET CONNECTIONS PROGRAM --NLM FUNDS
"1703",GLOBAL SCIENCE FORUM
"1704",APPLICATIONS SYSTEMS & SOFTWAR
"1705",BIOLOGY & INFORMATION TECHNOLO
"1706",DIGITAL GOVERNMENT
"1707",ADVANCED LEARNING TECHNOLOGIES
"1708",QuBIC
"1709",CISE EDUCAT RES & CURRIC DEVEL
"170E",Interagency Agreements
"1710",CONDENSED MATTER PHYSICS
"1711",MATERIALS EDUCATION AND RESEARCH
"1712",DMR SHORT TERM SUPPORT
"1713",WORKFORCE
"1714",SPECIAL PROJECTS - CISE
"1718",BIOINFORMATICS
"1719",COMPUTATIONAL BIOLOGY
"171E",CORBI/TIE
"1723",CENTERS FOR RESEARCH IN LEARNING TECHNOL
"1726",SCIENCE OF LEARNING CENTERS
"1728",PROG FOR WOMEN AND UNDERREPRESENT GROUPS
"1729","""K-12"
"172E",Geomechanics
"1730",SPECIAL PROGRAMS IN MATERIALS
"1731",GRAD TEACHING FELLOW IN K-12ED
"1733",GEOSCIENCE EDUCATION
"1734",NSF - EC Cooperation in Materials Res
"1735",MATERIALS RSCH SCI & ENG CENT
"1736",MATERIALS CENTERS & EDUCATION
"1738",ADVANCE - INSTITUTIONAL TRANSF
"1739",ADVANCE - LEADERSHIP
"1740",MATERIALS RESEARCH LABORATORIS
"1741",EARTHSCOPE SCIENCE
"1743",NATIONAL FACILITIES
"1744",TRIBAL COLLEGE & UNIVERS PROGR
"1745",NAT'L HIGH MAGNETIC FIELD LABO
"1746",DISTINGUISHED TEACHING SCHOLAR
"1747",MATERIALS RESEARCH GRPS PROGRM
"1750",MPS DMR INSTRUMENTATION
"1751",ULTRA-HIGH-CAPACITY OPTICAL COMM & NETWO
"1752",RESEARCH FOR MIXED SIGNAL ELECTRONIC TEC
"1753",ITR-Materials (for DMR use only)
"1757",Quantitative sys bio and biotech
"1758",BIOENGINEERING & BIOINFORMATIC
"1761",SOLID STATE PHYSICS
"1762",SOLID STATE & MATERIALS CHEMIS
"1764",LOW TEMPERATURE PHYSICS
"1765",CONDENSED MATTER & MAT THEORY
"1766",STRATEGIC TECH FOR INTERNET
"1767",Nanoscale Research-for PHY use only
"1768",ITR-Revolutionary Computing High PerfPHY
"1769",Other Nano
"1770","""METALLURGY"
"1771",METAL & METALLIC NANOSTRUCTURE
"1772",CERAMICS & ELECTRONIC MATERIAL
"1773",POLYMERS
"1774",CERAMICS
"1775",ELECTRONIC/PHOTONIC MATERIALS
"1777",MSP-TEACHER INSTITUTES
"1786",MANFG ENTERPRISE SYSTEMS
"1787",SERVICE ENTERPRISE SYSTEMS
"1788",Nanomanufacturing
"1790",STC Centers-Established
"1791",MSP-Comprehensive Awards
"1792",MSP-Targeted Awards
"1793",MSP-Other Awards
"1794","""BE-MAT USE:SCIENCE"
"1795",ROBERT NOYCE SCHOLARSHIP PGM
"1796",STEM TALENT EXPANSN PGM (STEP)
"1797",DOCTORAL HBCU RSRCH CAPACITY
"1798",Special Projects (AST)
"1800",Research Experience for Vets
"1900",CHEMISTRY - UNDISTRIBUTED
"1910",CHEMICAL DYNAMICS
"1912",ORGANIC CHEMICAL DYNAMICS
"1913",CHEMICAL PHYSICS
"1914",INORGANIC CHEMICAL DYNAMICS
"1915",EXPERIMENTAL CHEMICAL PHYSICS
"1916",STRUCTURAL CHEMISTRY
"1917",THEORETICAL CHEMICAL PHYSICS
"1918",CHEMICAL THERMODYNAMICS
"1919",STRUCTURAL CHEM & THERMODYNAMS
"1931",NATURAL PRODUCTS CHEMISTRY
"1932",SYNTHETIC INORGANIC & ORGANOME
"1933",SYNTHETIC ORGANIC CHEMISTRY
"1934",SYNTHETIC ORGANIC & NAT PRODUC
"1936",CHEMICAL ANALYSIS
"1937",ELECTROCHEM & SURFACE CHEMISTR
"1938",CHEMICAL INSTRUMENTATION
"1940",ORGANIC DYNAMICS
"1942",UNIMOLECULAR PROCESSES
"1944",BIMOLECULAR PROCESSES
"1946",ORGANIC SYNTHESIS
"1948",SYNTHESIS
"1950",METHODOLOGY
"1952",THEORETICAL AND COMPUTATIONAL
"1954",QUANTUM CALCULATIONS
"1956",STATISTICAL AND SIMULATIONS
"1958",EXPERIMENTAL & PHYSICAL CHEMST
"1960",STRUCTURE AND REACTIVITY
"1962",SPECTROSCOPY
"1964","""INORGANIC"
"1966",SYNTHETIC INORGANIC
"1968",PHYSICAL INORGANIC
"1970",ANALYTICAL & SURFACE CHEMISTRY
"1972",ELECTROCHEMISTRY & SURFACE CHE
"1974",ANALYTICAL SEPARATIONS & MEAS.
"1978",PROJECTS
"1980",PROGRAM SUPPORT
"1982",BIOLOGICAL CHEMISTRY
"1984",MATERIALS SYNTHESIS & PROCESSN
"1986",UNDERGRADUATE PROGRAMS IN CHEM
"1988",CHEMISTRY FELLOWSHIPS
"1990",CHEMISTRY EDUCATION
"1991",Chemistry Projects
"1994",Bioinformatics Program
"1995",CHE CENTERS
"2450",NASA ATMOSPHERIC CHEM
"2801",EMBEDDED & HYBRID SYSTEMS(EHS)
"2802",Trusted Computing
"2814",SOFTWARE SYSTEMS
"2815",COMPUTER SYSTEMS DESIGN
"2816",INTERAGENCY EDUCATION RESEARCH INITIATIV
"2822",SOFTWARE ENGINEERING
"2823",INTELLIGENT SYSTEMS
"2840",SPECIAL PROJECTS (CDA FRONT OF
"2841",SPECIAL PROJECTS& STUDIES
"2845",COMP & COMPUTAT RES-SM BUS RES
"2860",THEORY OF COMPUTING
"2861",EXPERIMENTAL SOFTWARE SYSTEMS
"2865","""NUMERIC"
"2870",COMPUTER SYSTEMS ARCHITECTURE
"2875",SYSTEM SOFTWARE
"2876",DISTRIBUTED SYSTEMS
"2877",PROGRAMMING LANGUAGES &COMPILR
"2878",SPECIAL PROJECTS - CCF
"2880",SOFTWARE ENGINEERING AND LANGU
"2881",CISE/EHR/ENG/MPS COLLAB RSCH ON LEAR TEC
"2882",CISE CHALLENGES
"2883",INFORMATION TECHNOLOGY WORKFORE
"2884",NEXT GENERATION SOFTWARE PROGR
"2885",CISE RESEARCH INFRASTRUCTURE
"2886",MINORITY INSTITUTIONS PROGRAM
"2887",SMALL SCALE PROGRAM
"2888",EDUCATIONAL INFRASTRUCTURE
"2889",GRADUATE RESEARCH TRAINEESHIP
"2890",CISE RESEARCH RESOURCES
"2891",WORKSTATION MATCHING AWARDS
"3955",AIR FORCE REIMB SUPP AGREEMENT
"4050",COMP & INFORM SCIE & ENG-RES
"4060",CENTERS PROGRAM
"4061",NETWORKING PROGRAM
"4062",CENTERS-PHASE 2
"4064",LOCAL ACCESS
"4066",PART FOR ADVANCED COMP INFRA
"4067",RESOURCES
"4068",ADV SCIENTIF COMPUTING SPEC PR
"4070",ADVANCED SCIENTIFIC COMPUT ACT
"4075",NSF/NIGMS Initiative-Mathematical Bio
"4080",ADVANCED COMP RESEARCH PROGRAM
"4082",EXPERI ADVANC SCIEN COMP SYSTS
"4083",POST DOC RESRCH ASSOC COMP S&E
"4088",HIGH PERF NETWK CONNECT-SCIENG
"4089",NETWORK CENTRIC MIDDLEWARE SVC
"4090",ADVANCED NET INFRA & RSCH
"4091",NETWORK INFRASTRUCTURE
"4092",COLLABORATIVE ACTIVITIES
"4095",SPECIAL PROJECTS IN NET RESEAR
"4096",COMMUNICATIONS RESEARCH
"4097",NETWORKING RESEARCH
"4098",EXPRES
"4100",NATIONAL RADIO ASTRONOMY OBSER
"4110",NASA
"4144",NASA
"4200",NAT CENTER FOR ATMOSPHERIC RES
"4202",UPPER ATMOSPHERIC FACILITIES
"4203",CLIMATE SIMULATION LAB AT NCAR
"4300",NAT OPT ASTRONOMY OBSERVS-NOAO
"4444",INTERDISCIPLINARY PROPOSALS
"4500",NAT ASTRONOMY & IONESPHERE CEN
"4650",RADIO SPECTRUM MANAGEMENT
"4710",DES AUTO FOR MICRO & NANO SYS
"4715",COMPUTER SYSTEMS ARCHITECTURE
"4720",SIGNAL PROCESSING SYS PROGRAM
"4725",EXPERIMENTAL SYSTEMS/CADRE
"4730",PROTOTYPING TOOLS & METH PROGR
"4731",SYSTEMS PROTOTYPING
"4732",MICROELECT FABRICA & PACKAGING
"5001",Haiti Earthquake
"5100",US ANTARCTIC PROGRAM
"5101",OUTREACH AND EDUCATION
"5103",EARTH SCIENCES-TOT(US ANTARC)
"5106",ENVIRONMENTAL RESEARCH
"5111",ANTARCTIC ORGANISMS & ECOSYST
"5112",ANTARCTIC EARTH SCIENCES
"5113",ANTARCTIC OCEAN & ATMOSPH SCI
"5114",METEOROLOGY (US ANTARCTIC RES)
"5115",ANTARCTIC AERONOMY & ASTROPHYS
"5116",ANTARCTIC GLACIOLOGY
"5130",ANTARCTIC COORDINATION & INFOR
"5140",OPERATIONS SUPPORT PROGRAM
"5141",RESEARCH SHIP SUPPORT
"5142",CONTRACT SUPPORT
"5150",ANTARCTIC LOGISTIC SUPPORT-DOD
"5170",ANTARCT LOG SUP-OTHER FED AGEN
"5182","""SAFETY"
"5187",ENVIRONMENT
"5188",SAFETY
"5189",HEALTH
"5201",ARCTIC RESEARCH PROJECTS
"5202",ARCTIC RES & POLICY SUPPORT PR
"5204",GENERAL ARCTIC RESEARCH SUPPRT
"5205",ARCTIC RESRCH SUPPRT & LOGISTI
"5208",ARCTIC RESEARCH AND EDUCATION
"5209",ENVIR SOCIAL & BEHAVIOR SCIENC
"5211",POLAR BIO & MEDIC ARCTIC RES
"5212",POLAR EARTH SCI (ARCTIC RES)
"5213",POLAR OCEAN SCI (ARCTIC RES)
"5214",METEOROLOGY (ARCTIC RESEARCH)
"5215",POLAR AERO & ASTROPHY (ARCTIC
"5216",POLAR GLACIOLOGY (ARCTIC RSCH)
"5219",ARCTIC SYSTEM SCIENCE PROGRAM
"5221",ARCTIC SOCIAL SCIENCES
"5223",AGILE MANUFACTURING INITIATIVE
"5225",CYBERINFRASTRUCTURE & SENSORS
"5240",INFORMAT & ADVIS SVC(ARCTIC RE
"5247",POST DOC/TRAVEL
"5251",American WkforceResrch&Edu Program-AWARE
"5280",ARCTIC NATURAL SCIENCES
"5281",INNOV THRU INSTITUTNL INTEGRTN
"5282",HUMAN ORIG: MOVING IN NEW DIR
"5283",POLAR POST DOC
"5284",GK-12
"5286",BEST
"5292",ANTARCTIC INTEGRATED SYS SCI
"5293",AON IMPLEMENTATION
"5294",USGCRP
"5295",IPY (GENERAL)
"5296",OBSERVING ENV CHANGE (ARCTIC)
"5297",ICE SHEET DYNAMICS/STABILITY
"5298",LIFE IN THE COLD AND DARK
"5299",EDUCATION
"5301","""PHY"
"5341",ALTERNATIVE BIOLOGICAL RESOURC
"5342",RESEARCH TO AID THE DISABLED
"5345",BIOMEDICAL ENGINEERING
"5346",BIOENGINEERING IN THE ENVIRONM
"5370",SMALL BUSINESS INNOVATION PROG
"5371",SMALL BUSINESS PHASE I
"5373",SMALL BUSINESS PHASE II
"5376",INNOVATION & ORG SCIENCES(IOS)
"5381",POLAR OBSERVING SYSTEMS
"5382","""PHYS"
"5383",HUMAN &/OR BIOLOGICAL
"5384",DATA AND DATA SYSTEMS
"5385",HUMANS IN THE POLAR REGIONS
"5386",ENVGENOMICS OF POLAR ORGANISMS
"5389",SHARED CYBERINFRASTRUCTURE
"5394",PRGM SUPPLEMENT
"5400","""LANGUAGE"
"5407",POLAR CYBERINFRASTRUCTURE
"5408",ADVANCE (GENERAL)
"5410",Integrative Section Reserve
"5411",SHIP OPERATIONS
"5412",SUBMERSIBLE SUPPORT
"5413",OCEANOGRAPHIC INSTRUMENTATION
"5414",INSTRUMENTATION DEVELOPMENT
"5415",OCEANOGRAPHIC TECHNICAL SERVCE
"5416",SHIPBOARD SCIENTIFIC SUPP EQUI
"5417",SHIP ACQUISITION AND UPGRADE
"5418",OCE SPECIAL PROGRAMS
"5419",INTERNATIONAL SUPPORT
"5430",SHIPBOARD SUPP EQUIPMENT & INS
"5440",OTHER FACILITIES & SUPPORT OPS
"5500",NEURAL SYSTEMS CLUSTER
"5514",OPERATIONS RESEARCH
"5536",REGULATION
"5560",ENERGY CONVERSION
"5596",EARTHQUAKE HAZDS MITIGAT-SITIN
"5620",ENVIRONMENTAL FORECASTING
"5720",OCEAN DRILLING PROGRAM
"5730",GLOBAL ATMOSPHERIC RESEARCH
"5733",POLICY RESEARCH AND ANALYSIS
"5740",CLIMATE & LARGE-SCALE DYNAMICS
"5750",MAGNETOSPHERIC PHYSICS
"5756",PRODUCTIVITY IMPROVEMENT RESEA
"5759",POLICY SCIENCES
"5761",INDUSTRY/UNIV COOP RES CENTERS
"5904",COSTA RICA
"5905",ISRAEL
"5911",ARGENTINA
"5912",AUSTRALIA
"5913",BRAZIL
"5914","""WESTERN EUROPE"
"5915","""EASTERN EUROPE"
"5916",HUNGARY
"5917",ROMANIA
"5918",FRANCE
"5919",INDIA (COOPERATIVE SCIENCE)
"5920",ITALY
"5921",JAPAN
"5922",MEXICO
"5924",TAIWAN
"5926","""LATIN AMERICA"
"5927","""EAST ASIA"
"5928","""AFRICA AND ASIA"
"5929",SCIENCE IN DEVELOPING COUNTRIE
"5930",U.S.-CZECHOSLOVAKIA PROGRAM
"5931",INTERNATIONAL INFO & ANALYSIS
"5933",US-POLAND MARIE CURRIE JNT FND
"5934",SOUTH PACIFIC ISLANDS
"5935",FINLAND
"5936",GERMANY (F.R.G.)
"5937",SWEDEN
"5939",US/USSR ACTIVITIES
"5940",TURKEY
"5941",NEW ZEALAND
"5942",KOREA
"5943",PAKISTAN (COOPERATIVE SCIENCE)
"5944",EGYPT (COOP SCIENCE)
"5945",VENEZUELA
"5946",UNITED KINGDOM
"5947",BELGIUM
"5948",NETHERLANDS
"5950",SWITZERLAND
"5951","""COOPERATIVE SCIENCE"
"5952",SPAIN
"5953",POLAND
"5954",YUGOSLAVIA
"5955",AUSTRIA
"5956",IRFP
"5958",BULGARIA
"5959",JAPAN INITIATIVE PROGRAM
"5964","""EAST ASIA PACIFIC SCIEN"
"5965",U. S. - HUNGARY JOINT FUND
"5969",SUPPORT OF INTN'L ORGANIZATINS
"5970",SCIENTIFIC ORGS & RESOURCES PR
"5971",SCIENTIFIC ORGANIZATIONS
"5972",RSRCS STUDIES & ASSESSMNT
"5973",FSU SUPPLEMENTS
"5974",CHILE
"5975",US-CSFR JOINT FUND PROGRAM
"5976","""AFRICA"
"5977",AMERICAS PROGRAM
"5978",EAST ASIA AND PACIFIC PROGRAM
"5979",Europe and Eurasia
"5980",WESTERN EUROPE PROGRAM
"5983",JAPAN AND KOREA PROGRAM
"5984",TRANS-REGIONAL AFFAIRS (TRA)
"5985",INTER INST FOR APP SYS & ANALY
"5986",HUMAN FRONTIER SCIENCE PROGRAM
"5987",GULF OF MEXICO OIL SPILL-2010
"5988","""NEAR EAST"
"5989","""SOUTH ASIA"
"5991",KENYA
"5992",MADAGASCAR
"5993",NIGERIA
"5994",SLOVAK REPUBLIC
"5996",U.S. CROATIA JOINT FUND
"5998",UKRAINE
"5999",SLOVENIA
"6100",SCIENTIFIC & TECHNOLOGICAL INF
"6123",GUINEA (SCIENTIFIC RESEARCH)
"6124",INDIA (SCIENTIFIC RESEARCH)
"6133",GoLife
"6164",INDIA - INDIVIDUAL TRAVEL
"6194",INDIA
"626",MISCELLANEOUS SERVICES
"6650",INFORMATION SCIENCE
"6700",INFORMATION TECHNOLOGY
"6835",KNOWLEDGE & DATABASE SYSTEMS
"6840",ROBOTICS
"6845",HUMAN COMPUTER INTER PROGRAM
"6846",UNIVERSAL ACCESS
"6850",DIGITAL SOCIETY&TECHNOLOGIES
"6855",INFORMATION & KNOWLEDGE MANAGE
"6856",ARTIFICIAL INTELL & COGNIT SCI
"6857",DIGITAL LIBRARIES AND ARCHIVES
"6859",HBCU-UP IMP
"6860",HBCU-UP ERP
"6861",HBCU-P TIP
"6862",HBCU-UP IMP ACE
"6863",SEBML-MOORE'S LAW
"6864",MICROBIAL SYS IN BIOSPHERE
"6865",MPS & SOCIETY
"6866",BIO & SOCIETY
"6867",INFRASTRUCTURE
"6868",SBE COMPLEXITY
"6869",US/IRELAND R & D
"6872",INNOV INSTIT INTEGRAT-HBCU-UP
"6873",INNOV INSTIT INTEGRAT-LSAMP
"6875",EMERG TOPICS BIOGEOCHEM CYCL
"6876",MULTI-SCALE MODELING (MSM)
"6877",ALGORITHMS IN THREAT DETECTION
"6878",CHEMICAL SYNTHESIS
"6879","""STRUCTURE"
"6880",CHEMICAL MEASUREMENT & IMAGING
"6881","""THEORY"
"6882",ENVIRONMENTAL CHEMICAL SCIENCE
"6883",CHEMISTRY OF LIFE PROCESSES
"6884",CHEMICAL CATALYSIS
"6885",MACROMOLEC/SUPRAMOLEC/NANO
"6886",MULTI-SCALE MODELING
"6890",RECOVERY ACT ACTION
"6891",CLIMATE CHANGE EDUCATION
"6892",CI REUSE
"6893",ULTRA EXPLORATORY AWARDS
"6895",DIGITIZATION
"6897",AGS
"6898",EAR
"6899",OCE
"7071",JUNO
"7100",YOUNG SCHOLARS PROGRAM
"7137",POSTDOCTORAL FELLOWSHIPS
"714",TECH ASSIST AWD OVRSGHT&MONITR
"7157",GRADUATE FELLOWSHIPS - FY-87
"7160",GRADUATE FELLOWSHIPS-FY-90
"7172",GRADUATE FELLOWSHIPS
"7173",GRADUATE TRAINEESHIPS PROGRAM
"7174","""POSTDOC FELLOW IN SCI"
"7176",NSF GRAD TEACH FELLOW K-12
"7177",MODEL INSTITUTIONS FOR EXCELLENCE
"7178","""MATH"
"7179",GRAD TEACHING FELLOWS IN K-12
"7180",EDUCATIONAL RESEARCH INITIATIV
"7183",MINORITY GRAD STDNT TRAVEL AWD
"7184",MINORITY POSTDOC RSRCH STARTER
"7185",BIOLOGICAL INFO RSRCH STARTER
"7186",MICROBIAL BIO STARTER GRANT
"7187",MICROBIAL GENOME SEQUENCING
"7201",NUCLEAR ASTROPHYSICS
"7202",NANO - CHEM
"7203",QUANTUM INFORMATION SCIENCE
"7204",DoE-NSF LABORATORY FELLOWSHIPS
"7205",BIOCOMPLEXITY IN THE ENVIRONMENT-PHYSICS
"7206",PREMISE
"7207",ENG DESIGN FOR UNCERTAINTY-RES TO SEPT11
"7208",DMS/NSE
"7209",NEXT GEN CHEM & BIO SENSORS & SENSING SY
"7213",STC Class of 2002
"7214",HIGHLY DEPENDABLE COMPUTING
"7215",OPPORTUNITIES FOR RESEARCH CMG
"7216",FRONTIERS IN BIO RES (FIBR)
"7217",RESEARCH INFRASTRUCTURE IMPROV
"7218",RET SUPPLEMENTS
"7219",NANOTECHNOLOGY UNDERGRAD EDUCA
"722",HEALTH SERVICES UNIT
"7222",OFFICE OF SPECIAL PROGRAMS-DMR
"7223",BIOGEOSCIENCES
"7224",SENSOR SOLICIATATION
"7227",ITEST
"7231",CYBERINFRASTRUCTURE
"7232",MATHEMATICAL GEOSCIENCES
"7233",RES EXPERIENCE FOR TEACHERS(RET)-SUPPLEM
"7234",SENSORS NON-SOLICITATION RESEA
"7235",UNDERGROUND PHYSICS
"7236","""BIOPHOTONICS"
"7237",NANO NON-SOLIC SCI & ENG AWD
"7238",ENG ITR CORE ACTIVITIES
"7239",ENG BIOCOMPLEXITY CORE ACTIVITIES
"7241",WATER CYCLE RESEARCH
"7242",ECOLOGY OF INFECTIOUS DISEASES
"7243",FUND RES TO ENHANCE NATIONAL SEC (FRENS)
"7244",COMPUTATIONAL PHYSICS
"7245",PHYSICS GRID COMPUTING
"7246",PHYSICS OF LIVING SYSTEMS
"7247",LOCAL & REG TEACHER DEVEL
"7248",PROKARYOTIC MOLECULAR & CELL BIOLOGY
"7251",EIN
"7252","""Perception"
"7253",NETWORK RESEARCH TESTBEDS
"7254",CYBER SECURITY ACT PROPOSALS
"7255",GEOINFORMATICS
"7256","""RSCH IN EDUCATION"
"7257",APPLICATS OF ADVANCED TECHNOLS
"7258",RESEARCH IN TEACHING & LEARNIN
"7259",INFORMAL SCIENCE EDUCATION
"7260",DISSEMINATION
"7261",PROGRAM EVALUATION
"7262",RESEARCH ACTIVITIES
"7263",NETWORKING INFRASTRUCT-EDUCAT
"7264",CCRI-DEC MAKING UNDER UNCERTAI
"7265",EMP IMPL OF THEORETICAL MODELS
"7266",ENHANCING HUMAN PERFORMANCE
"7270",ENVIRONMENTAL SCIENCES EDUCATION
"7271",TEACHER PROFESSIONAL CONTINUUM
"7273",ENVIRONMENTAL RESEARCH & EDUCA
"7274",HUMAN LANGUAGE & COMMUNICATION
"7275",CROSS-EF ACTIVITIES
"7276",APPROACHES TO COMBAT TERRORISM
"7277",SCIENCE OF LEARN CTR-CATALYSTS
"7278",SCIENCE OF LEARN CTRS- CENTERS
"7280",GEOBIOLOGY
"7281",QUATM INFO & REVOLUTIONARY COM
"7282",ACC PHYSICS & PHYSICS INSTRUM
"7283",INTERDISCIPLINARY MATH
"7285",INTEGRATED CARBON CYCLE RESEAR
"7286",BIOCOMPUTATION
"7287",CISE INSTRUMENTATION
"7289",COLLABORATIVE RESEARCH RESOURCES
"7292",REPROGRAMMING FUNDS
"7293",DISASTER RESPONSE TEAMS
"7294",SCIENCE & ENGINEERING INFORMAT
"7295",GEOBIOLOGY & LOW TEMP GEOCHEM
"7296",SENSOR SMALL TEAMS (SST)
"7297",SENSOR INTERDIS RESEARCH GROUP
"7298",COLLABORATIVE RESEARCH
"7299",INTERNATIONAL PLAN & WORKSHOPS
"7300",TEACHER ENHANCEMENT PROGRAM
"7301",RES TRAINING GROUPS IN THE MATH SCIENCES
"7302",MENTOR THR CRIT TRANS PTS IN THE MAT SCI
"7303",MATH SCI PRIORITY AREA: INTERDISCIPLINAR
"7304",ERE General
"7305",BE-UF: WATER CYCLE
"7306",BE-UF: CARBON CYCLE
"7307",BE-UF: BIOGEOSCIENCES
"7308",BE-UF: ECOL OF INFECTIOUS DISE
"7309","""IMR-MIP"
"7310",BE: CARBON & WATER IN ES
"7313",REGIONAL INST FOR GLOBAL CHANG
"7314",ITR FOR NATIONAL PRIORITIES
"7316",EAPSI
"7317",INTERDISC TRNG IN BIO & MATH
"7318",HSD - AGENTS OF CHANGE
"7319",HSD - DYNAMICS OF HUMAN BEHAVI
"7322","""HSD - DEC"
"7323",HSD - SPATIAL SOCIAL SCIENCE
"7324",HSD - MODELING HSD
"7326",HSD - GENERAL
"7327",CRCNS
"7328",ICSU
"7329",COMPILERS
"7331",SENSOR NETS
"7333",MATHEMATICAL SCIENCES RES INST
"7334",MATHEMATICAL BIOLOGY
"7335",WORKFORCE IN THE MATHEMAT SCI
"7336",DEPT LEVEL REFORM OF UNDERGRAD ENG EDU
"7337",JORDAN
"7338",TANZANIA
"7339",COMPUTER VISION
"7342",UGANDA
"7343",BANGLADESH
"7344",NATIONAL NANOTECH INFRASTRUCTURE NETWORK
"7345",PRES AWARDS FOR EXCEL IN SCIEN
"7348",TEACHER PREPARATION PROGRAM
"7349",PR FOR RES & EDU W/SM TELESCOP
"735",AFTER THE FACT TRAVEL
"7350",NAT ECOLOGICAL OBSERVATORY NET
"7351",THEORETICAL FOUNDATIONS (TF)
"7352",COMPUTING PROCESSES & ARTIFACT
"7353",EMERGING MODELS & TECHNOLOGIES
"7354",COMPUTER SYSTEMS
"7355",INSTRUCTIONAL MATERIALS DEVELP
"7356",SCIENCE & MATH EDUCATION NETWR
"7357",PRIVATE SECTOR PARTNERSHIPS
"7359",COMPUTING RES INFRASTRUCTURE
"7360",STATEWIDE SYSTEMIC INITIATIVES
"7361",EDUCATION AND WORKFORCE
"7362",NETWORK SYSTEMS
"7363",RES IN NETWORKING TECH & SYS
"7364",INFO INTEGRATION & INFORMATICS
"7365",EDUCATIONAL SYSTEM REFORM
"7367",Cyber-Human Systems
"7368",SCI TESTBEDS
"7369",INTERNATIONAL RES NET CONNECT
"7371",CYBER TRUST
"7372",ITR-SCIENCE OF DESIGN
"7373",ITR-INFORMATION INTEGRATION
"7375",REVISIONARY SYSTEMATICS
